Какое из этих волокон является натуральным растительного происхождения?;Хлопок, Полиэстер, Акрил, Нейлон;Хлопок
Какой уход рекомендуется для шерстяных изделий?;Стирка при 60°C, Химчистка, Ручная стирка в холодной воде, Отбеливание;Ручная стирка в холодной воде
Что характерно для льняных тканей?;Сильно мнется, Не пропускает воздух, Не впитывает влагу, Эластичная;Сильно мнется
Какой синтетический материал наиболее устойчив к износу?;Полиэстер, Хлопок, Шелк, Шерсть;Полиэстер
Как правильно сушить вискозные изделия?;В стиральной машине, На батарее, В расправленном виде вдали от нагревателей, На солнце;В расправленном виде вдали от нагревателей
Что происходит с полиэстером при высоких температурах?;Не меняется, Плавится, Становится прочнее, Дает усадку;Плавится
"Какой знак на ярлыке означает ""Не отбеливать""?";Треугольник, Круг, Квадрат, Ромб;Треугольник
Для чего используется ткань с добавлением эластана?;Для тепла, Для придания эластичности, Для водоотталкивания, Для уменьшения стоимости;Для придания эластичности
Какой уход требуется для изделий из кашемира?;Машинная стирка, Ручная стирка специальными средствами, Кипячение, Стирка с отбеливателем;Ручная стирка специальными средствами
"Что означает знак ""Круг с буквой P"" на ярлыке?";Можно стирать, Можно гладить, Требуется химчистка с перхлорэтиленом, Не отжимать;Требуется химчистка с перхлорэтиленом
